AnimalID,UFID_Corrected,YEAR,hcw,Marbling,WBSF,CG,Ranch,LOT,RanchLOT,PC1,PC2
20054,N20054,2017,757,360,4.611463,11,Ranch17,_7126,Ranch17_7126,-0.00785461,-0.0332531
20055,N20055,2017,978,710,7.290223,11,Ranch17,_7126,Ranch17_7126,-0.0107064,-0.022552
20056,N20056,2017,752,550,3.952403,11,Ranch17,_7126,Ranch17_7126,-0.00698903,-0.0476842
20057,N20057,2017,769,380,5.096191,11,Ranch17,_7126,Ranch17_7126,-0.00603705,-0.0184121
20058,N20058,2017,1001,380,3.925828,11,Ranch17,_7126,Ranch17_7126,-0.0123525,-0.0274884
20059,N20059,2017,848,320,5.591549,11,Ranch17,_7126,Ranch17_7126,-0.00707698,-0.0247054
20060,N20060,2017,826,420,3.05842,11,Ranch17,_7126,Ranch17_7126,-0.00918558,-0.0435018
20061,N20061,2017,926,380,3.114759,11,Ranch17,_7126,Ranch17_7126,-0.0115796,-0.0323604
20062,N20062,2017,958,420,5.154656,11,Ranch17,_7126,Ranch17_7126,-0.00854266,-0.0464752
20063,N20063,2017,779,430,5.040915,11,Ranch17,_7126,Ranch17_7126,-0.0144364,-0.0283614
20064,N20064,2017,882,510,6.384547,11,Ranch17,_7126,Ranch17_7126,-0.00703354,-0.0453965
20065,N20065,2017,992,520,4.736897,11,Ranch17,_7126,Ranch17_7126,-0.0116262,-0.0196758
20066,N20066,2017,963,390,6.905417,11,Ranch17,_7126,Ranch17_7126,-0.0109793,-0.0194831
20067,N20067,2017,797,580,4.582762,11,Ranch17,_7126,Ranch17_7126,-0.00927528,-0.00911693
20068,N20068,2017,769,640,2.751213,11,Ranch17,_7126,Ranch17_7126,-0.00940633,-0.0435595
