UFID_Corrected,YEAR,hcw,CG,Ranch,LOT,RanchLOT,PC1,PC2
N50070,2017,808,15,Ranch2,_7596,Ranch2_7596,-0.00332183,-0.00165529
N50071,2017,836,15,Ranch2,_7596,Ranch2_7596,-0.00425158,0.000379109
N50073,2017,762,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.000483296,0.0390931
N50074,2017,819,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.0112519,0.025278
N50075,2017,733,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00945244,0.0561153
N50076,2017,746,16,Ranch2,_7606,Ranch2_7606,-0.0063577,0.000641989
N50077,2017,813,28,STOFI-Bright,_7186,STOFI-Bright_7186,0.00968849,-0.0116556
N50078,2017,923,28,STOFI-Bright,_7186,STOFI-Bright_7186,0.000583457,0.0385944
N50079,2017,1028,19,Ranch3,_7186,Ranch3_7186,-0.000284612,-0.0537781
N50080,2017,1009,28,STOFI-Bright,_7186,STOFI-Bright_7186,0.000292462,-0.0237435
N50081,2017,951,19,Ranch3,_7186,Ranch3_7186,-0.00848886,-0.046627
N50082,2017,770,19,Ranch3,_7186,Ranch3_7186,0.0010645,0.027097
N50083,2017,832,28,STOFI-Bright,_7186,STOFI-Bright_7186,0.00385117,0.0311004
N50085,2017,912,19,Ranch3,_7186,Ranch3_7186,-0.00125964,-0.0216579
N50086,2017,993,19,Ranch3,_7186,Ranch3_7186,-0.0120926,0.00517433
N50088,2017,969,19,Ranch3,_7186,Ranch3_7186,-0.0081912,-0.0303124
N50089,2017,948,19,Ranch3,_7186,Ranch3_7186,0.00165249,0.0403637
N50090,2017,917,19,Ranch3,_7186,Ranch3_7186,-0.00180695,0.0208446
N50091,2017,868,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00140177,0.0105921
N50092,2017,834,28,STOFI-Bright,_7186,STOFI-Bright_7186,0.00767537,0.0292118
N50093,2017,845,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00943227,0.0575521
N50094,2017,829,19,Ranch3,_7186,Ranch3_7186,-0.00133905,-0.0422664
N50095,2017,955,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00748745,0.0121803
N50097,2017,910,19,Ranch3,_7186,Ranch3_7186,-0.00560926,-0.0306599
N50098,2017,850,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.0122783,0.00971711
N50099,2017,927,19,Ranch3,_7186,Ranch3_7186,-9.36E-05,0.00808552
N50100,2017,850,19,Ranch3,_7186,Ranch3_7186,-0.004286,-0.0261554
N50101,2017,880,19,Ranch3,_7186,Ranch3_7186,0.00719874,0.0119303
N50102,2017,859,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00329615,0.0127678
N50104,2017,809,19,Ranch3,_7186,Ranch3_7186,-0.00556677,-0.0182683
N50105,2017,803,19,Ranch3,_7186,Ranch3_7186,-0.00191716,-0.0271039
N50106,2017,914,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00153195,-0.015006
N50107,2017,794,19,Ranch3,_7186,Ranch3_7186,-0.00435739,-0.0638781
N50108,2017,866,19,Ranch3,_7186,Ranch3_7186,-0.00296,-0.00324911
N50109,2017,877,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00610843,0.0279122
N50110,2017,923,19,Ranch3,_7186,Ranch3_7186,-0.00389737,-0.0407234
N60001,2017,848,17,Ranch2,_7626,Ranch2_7626,-0.00273378,-0.00723013
N60002,2017,881,16,Ranch2,_7606,Ranch2_7606,-0.00228841,-0.00911952
N60003,2017,741,17,Ranch2,_7626,Ranch2_7626,-0.00607548,0.00132541
N60004,2017,796,16,Ranch2,_7606,Ranch2_7606,-0.00634532,-0.0121863
N60005,2017,755,17,Ranch2,_7626,Ranch2_7626,-0.00328636,-0.00577019
N60006,2017,883,16,Ranch2,_7606,Ranch2_7606,0.0288676,0.0223778
N60007,2017,719,24,Ranch5,_7606,Ranch5_7606,0.00147313,-0.0263813
N60008,2017,800,17,Ranch2,_7626,Ranch2_7626,-0.0019078,0.0497217
N60009,2017,819,16,Ranch2,_7606,Ranch2_7606,-0.000995475,-0.0221865
N60010,2017,696,17,Ranch2,_7626,Ranch2_7626,-0.00127197,-0.00968691
N60011,2017,829,16,Ranch2,_7606,Ranch2_7606,-0.00607384,-0.0391748
N60012,2017,768,4,Ranch11,_7606,Ranch11_7606,0.00761979,-0.0117997
N60013,2017,907,16,Ranch2,_7606,Ranch2_7606,-0.0119039,-0.0187112
N60014,2017,808,17,Ranch2,_7626,Ranch2_7626,-0.0047951,-0.00534304
N60015,2017,802,17,Ranch2,_7626,Ranch2_7626,-0.00513068,0.0207475
