UFID_Corrected,YEAR,Marbling,CG,Ranch,LOT,RanchLOT,PC1,PC2
N30008,2017,510,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.0124082,0.0141502
N30009,2017,380,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00753808,0.0247717
N30010,2017,410,19,Ranch3,_7186,Ranch3_7186,-0.0112579,-0.0338924
N30011,2017,380,28,STOFI-Bright,_7186,STOFI-Bright_7186,0.000401485,0.0105495
N30012,2017,410,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00859075,0.0263697
N30013,2017,510,28,STOFI-Bright,_7186,STOFI-Bright_7186,0.0019185,0.0379963
N30014,2017,580,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00689335,0.0322705
N30016,2017,410,19,Ranch3,_7186,Ranch3_7186,-0.00585594,-0.0280275
N30017,2017,410,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00966597,-0.0496544
N30018,2017,420,19,Ranch3,_7186,Ranch3_7186,-0.00177344,0.000317101
N30019,2017,480,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.0110126,0.0353932
N30020,2017,570,28,STOFI-Bright,_7186,STOFI-Bright_7186,0.000588129,-0.026588
N30021,2017,270,19,Ranch3,_7186,Ranch3_7186,-0.00368614,-0.0274328
N30022,2017,390,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.0109516,-0.019574
N30024,2017,610,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00314452,0.0312111
N30025,2017,430,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00500405,0.0337215
N30026,2017,510,28,STOFI-Bright,_7186,STOFI-Bright_7186,0.000140903,0.0364105
N30027,2017,510,19,Ranch3,_7186,Ranch3_7186,-0.0014971,-0.0473866
N30028,2017,380,19,Ranch3,_7186,Ranch3_7186,0.00108185,-0.056909
N30029,2017,510,4,Ranch11,_7606,Ranch11_7606,0.00857504,-0.0313396
N30030,2017,380,5,Ranch12,_7606,Ranch12_7606,-0.000123105,-0.0502738
N30031,2017,390,2,Ranch11,_7566,Ranch11_7566,0.00355358,-0.0234937
N30032,2017,340,5,Ranch12,_7606,Ranch12_7606,-0.00540457,-0.0170638
N30033,2017,380,17,Ranch2,_7626,Ranch2_7626,-0.00345505,-0.038251
N30034,2017,380,4,Ranch11,_7606,Ranch11_7606,0.000822576,-0.00869694
N30035,2017,340,17,Ranch2,_7626,Ranch2_7626,0.0101842,0.0355172
N30036,2017,380,6,Ranch12,_7626,Ranch12_7626,0.000321452,-0.012428
N30037,2017,410,17,Ranch2,_7626,Ranch2_7626,0.00323017,0.0234685
N30038,2017,440,17,Ranch2,_7626,Ranch2_7626,-0.01291,-0.0437377
N30039,2017,420,5,Ranch12,_7606,Ranch12_7606,0.00235061,-0.00877809
N30040,2017,390,2,Ranch11,_7566,Ranch11_7566,-0.00457635,0.0102556
N30041,2017,370,6,Ranch12,_7626,Ranch12_7626,-0.00269735,-0.0191444
N30042,2017,340,16,Ranch2,_7606,Ranch2_7606,-0.00830684,-0.0284868
N30043,2017,390,17,Ranch2,_7626,Ranch2_7626,-0.0146822,-0.0330247
N30044,2017,610,5,Ranch12,_7606,Ranch12_7606,-0.00838118,-0.013529
N30045,2017,360,6,Ranch12,_7626,Ranch12_7626,-0.00111492,-0.0171617
N30046,2017,410,4,Ranch11,_7606,Ranch11_7606,-0.0118793,0.0170027
N30047,2017,390,16,Ranch2,_7606,Ranch2_7606,-0.000253318,-0.0270899
N30048,2017,530,5,Ranch12,_7606,Ranch12_7606,-0.0103715,-0.0269707
N30049,2017,470,17,Ranch2,_7626,Ranch2_7626,-0.00416701,-0.0116711
N30050,2017,570,36,Ranch14,_7606,Ranch14_7606,0.00271701,0.00871891
N30051,2017,410,4,Ranch11,_7606,Ranch11_7606,-0.00457153,-0.0166835
N30052,2017,390,5,Ranch12,_7606,Ranch12_7606,-0.00469852,-0.0202639
N30053,2017,520,16,Ranch2,_7606,Ranch2_7606,-0.00468371,-0.0441657
N30055,2017,490,17,Ranch2,_7626,Ranch2_7626,0.0028697,0.00677619
N30056,2017,390,19,Ranch3,_7186,Ranch3_7186,0.00019103,-0.0299163
N30057,2017,390,19,Ranch3,_7186,Ranch3_7186,-0.00711401,-0.0369868
N30058,2017,530,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00398831,0.0639611
N30059,2017,370,19,Ranch3,_7186,Ranch3_7186,-0.00768914,-0.0190397
N30060,2017,410,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00639932,0.00984811
N30061,2017,410,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00919247,0.0252858
N30062,2017,460,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.011184,0.0639149
N30063,2017,390,5,Ranch12,_7606,Ranch12_7606,0.00463843,-0.0256853
N30064,2017,390,17,Ranch2,_7626,Ranch2_7626,-0.00442473,0.000536784
N30065,2017,410,19,Ranch3,_7186,Ranch3_7186,-0.00799067,-0.0375541
N30066,2017,390,19,Ranch3,_7186,Ranch3_7186,-0.00304832,0.0176999
N30067,2017,410,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00424509,0.0117917
N30068,2017,390,17,Ranch2,_7626,Ranch2_7626,-0.0091201,-0.0172405
N30070,2017,720,22,Ranch5,_7566,Ranch5_7566,-0.0129355,0.000374619
N30071,2017,520,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.00737056,0.0409281
N30072,2017,680,2,Ranch11,_7566,Ranch11_7566,0.0102946,-0.0238057
N30073,2017,710,8,Ranch14,_7566,Ranch14_7566,-0.0108795,-0.000274841
N30074,2017,410,25,Ranch6,_7556,Ranch6_7556,-0.00296212,-0.0369275
N30075,2017,370,25,Ranch6,_7556,Ranch6_7556,0.0120368,-0.0431189
N30077,2017,510,25,Ranch6,_7556,Ranch6_7556,-0.00746757,0.0151371
N30078,2017,420,22,Ranch5,_7566,Ranch5_7566,8.74E-05,-0.00131295
N30079,2017,720,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.00486031,0.0250607
N30081,2017,390,8,Ranch14,_7566,Ranch14_7566,-0.0032962,0.025073
N30082,2017,610,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.00475337,-0.0176887
N30083,2017,820,33,STOFI-StThom,_7566,STOFI-StThom_7566,0.00107603,-0.0280771
N30084,2017,420,33,STOFI-StThom,_7566,STOFI-StThom_7566,0.0107682,-0.0704184
